Date,Name,Year,Letterboxd URI,Rating
2022-07-23,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2022-07-23,Up,2009,https://boxd.it/1OEc,4
2022-07-23,Iron Man,2008,https://boxd.it/28dA,3.5
2022-07-23,It,2017,https://boxd.it/bC8e,4
2022-07-23,WALL·E,2008,https://boxd.it/1VEo,4
2022-07-23,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2022-07-23,The French Dispatch,2021,https://boxd.it/jLP8,4.5
2022-07-23,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2022-07-23,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4.5
2022-07-23,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2022-07-23,John Wick,2014,https://boxd.it/7dEc,4
2022-07-23,Split,2016,https://boxd.it/dgSy,4
2022-07-23,Wonder Woman,2017,https://boxd.it/9roG,4
2022-07-23,Avatar,2009,https://boxd.it/1Efm,3.5
2022-07-23,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4.5
2022-07-23,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2022-07-23,Ford v Ferrari,2019,https://boxd.it/ce74,4
2022-07-23,The Lego Movie,2014,https://boxd.it/4pDO,3.5
2022-07-23,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4.5
2022-07-23,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2022-07-23,Ponyo,2008,https://boxd.it/1S0A,4.5
2022-07-23,The Emperor's New Groove,2000,https://boxd.it/1Tey,4.5
2022-07-23,Hidden Figures,2016,https://boxd.it/dgS4,4.5
2022-07-23,Creed,2015,https://boxd.it/a2qk,4
2022-07-23,Elvis,2022,https://boxd.it/mK4w,4
2022-07-23,Klaus,2019,https://boxd.it/ipoi,4
2022-07-23,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2022-07-23,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,2.5
2022-07-23,Deadpool,2016,https://boxd.it/9fOC,3.5
2022-07-23,Ant-Man,2015,https://boxd.it/3vmW,3.5
2022-07-23,Coco,2017,https://boxd.it/bYJQ,4.5
2022-07-23,Uncut Gems,2019,https://boxd.it/gXGc,4
2022-07-23,Forrest Gump,1994,https://boxd.it/728,4.5
2022-07-23,Doctor Strange,2016,https://boxd.it/8MH8,4
2022-07-23,Us,2019,https://boxd.it/gnV6,4
2022-07-23,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2022-07-23,Memento,2000,https://boxd.it/2bcK,4.5
2022-07-23,Alien,1979,https://boxd.it/2awY,4.5
2022-07-23,Eternals,2021,https://boxd.it/j36o,4
2022-07-23,The Irishman,2019,https://boxd.it/dYOq,4
2022-07-23,Annihilation,2018,https://boxd.it/9yzm,4
2022-07-23,Minari,2020,https://boxd.it/mL9M,4.5
2022-07-23,Men,2022,https://boxd.it/tlc0,4
2022-07-23,Fast Five,2011,https://boxd.it/BgO,3.5
2022-07-23,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,4
2022-07-23,Sully,2016,https://boxd.it/cD8Q,4
2022-07-23,You've Got Mail,1998,https://boxd.it/1Yye,3.5
2022-07-23,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,4
2022-07-23,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4.5
2022-07-23,The Gray Man,2022,https://boxd.it/rb7q,3.5
2022-07-23,Lightyear,2022,https://boxd.it/qV1G,3
2022-07-23,"Love, Death & Robots: Night of the Mini Dead",2022,https://boxd.it/AW6s,4
2022-07-23,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2022-07-23,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,3
2022-07-23,Star Wars: Visions – The Ninth Jedi,2021,https://boxd.it/x5be,4
2022-07-23,Star Wars: Visions – Akakiri,2021,https://boxd.it/x5by,4
2022-07-23,Star Wars: Visions – Lop & Ochō,2021,https://boxd.it/x5aK,4
2022-07-23,Star Wars: Visions – The Elder,2021,https://boxd.it/x5c2,4
2022-07-23,Squid Game,2021,https://boxd.it/x1OG,4.5
2022-07-23,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3.5
2022-07-23,Ready Player One,2018,https://boxd.it/aZes,3.5
2022-07-23,Death on the Nile,2022,https://boxd.it/ifpg,3.5
2022-07-23,Kin of the Stained Blade,2020,https://boxd.it/rlcK,3
2022-07-23,Batman Begins,2005,https://boxd.it/2aIg,4
