Date,Name,Year,Letterboxd URI
2021-07-19,3:10 to Yuma,1957,https://boxd.it/1OCU
2021-07-19,Drunken Master II,1994,https://boxd.it/1Si0
2021-07-19,The Graduate,1967,https://boxd.it/18Im
2021-07-19,Punch-Drunk Love,2002,https://boxd.it/20E4
2021-07-19,Snatch,2000,https://boxd.it/2b7U
2021-07-19,The World's End,2013,https://boxd.it/3EiO
2021-07-19,Hot Fuzz,2007,https://boxd.it/2416
2021-07-19,In Bruges,2008,https://boxd.it/20n8
2021-07-19,Ernest & Celestine,2012,https://boxd.it/493A
2021-07-19,Whisper of the Heart,1995,https://boxd.it/17uy
2021-07-19,Columbus,2017,https://boxd.it/eCuA
2021-07-19,Almost Famous,2000,https://boxd.it/29CQ
2021-07-19,The Big Sick,2017,https://boxd.it/eHvy
2021-07-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2021-07-20,Paths of Glory,1957,https://boxd.it/29b6
2021-07-21,Trainspotting,1996,https://boxd.it/29XY
2021-07-23,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-07-23,MLK/FBI,2020,https://boxd.it/rk2k
2021-07-23,1971,2014,https://boxd.it/7M6k
2021-07-25,The Social Dilemma,2020,https://boxd.it/opQI
2021-07-27,Compartment No. 6,2021,https://boxd.it/lEty
2021-07-27,Vortex,2021,https://boxd.it/uoni
2021-07-27,A Hero,2021,https://boxd.it/p2zw
2021-07-27,Red Rocket,2021,https://boxd.it/sGpi
2021-07-27,"Paris, 13th District",2021,https://boxd.it/s0Ky
2021-07-27,The Souvenir,2019,https://boxd.it/gXU4
2021-07-27,The Souvenir: Part II,2021,https://boxd.it/gXTK
2021-07-27,Drive My Car,2021,https://boxd.it/sv94
2021-07-28,Rain Man,1988,https://boxd.it/2avw
2021-08-03,The Pianist,2002,https://boxd.it/2aqc
2021-08-03,The Father,2020,https://boxd.it/m8Ie
2021-08-03,Training Day,2001,https://boxd.it/27A4
2021-08-03,Dallas Buyers Club,2013,https://boxd.it/4O8G
2021-08-05,Nine Days,2020,https://boxd.it/mqL6
2021-08-17,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ
2021-08-17,CODA,2021,https://boxd.it/tbf4
2021-08-18,Swiss Army Man,2016,https://boxd.it/bDG2
2021-08-18,Death Proof,2007,https://boxd.it/27GG
2021-08-19,The Village,2004,https://boxd.it/21iS
2021-08-19,Christine,1983,https://boxd.it/1ZRQ
2021-08-19,Doctor Sleep,2019,https://boxd.it/i5vI
2021-08-29,Amy,2015,https://boxd.it/aSNU
2021-08-29,20th Century Women,2016,https://boxd.it/bqU6
2021-08-29,American Honey,2016,https://boxd.it/bk7C
2021-08-29,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2021-08-29,Under the Skin,2013,https://boxd.it/3mDa
2021-08-29,Saint Maud,2019,https://boxd.it/l8QA
2021-08-29,A Ghost Story,2017,https://boxd.it/fb0K
2021-08-29,Lean on Pete,2017,https://boxd.it/emgM
2021-08-29,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2021-08-29,Krisha,2015,https://boxd.it/ax4E
2021-08-29,Candyman,1992,https://boxd.it/1Ys6
2021-09-03,The Witcher: Nightmare of the Wolf,2021,https://boxd.it/oNDI
2021-09-06,The Birth of a Nation,2016,https://boxd.it/bhFQ
2021-09-06,American Skin,2019,https://boxd.it/mZPs
2021-09-20,Wind River,2017,https://boxd.it/dR3i
2021-09-22,Harakiri,1962,https://boxd.it/1NTU
2021-09-22,Ikiru,1952,https://boxd.it/251c
