Date,Name,Year,Letterboxd URI
2021-07-19,Cars,2006,https://boxd.it/29ho
2021-07-19,Cars 2,2011,https://boxd.it/H4Y
2021-07-19,Cars 3,2017,https://boxd.it/7IPq
2021-07-19,Onward,2020,https://boxd.it/io92
2021-07-19,Porco Rosso,1992,https://boxd.it/1Tp2
2021-07-19,Leap Year,2010,https://boxd.it/1wdC
2021-07-19,10 Things I Hate About You,1999,https://boxd.it/23AO
2021-07-19,Arthur Christmas,2011,https://boxd.it/Cg6
2021-07-19,About Time,2013,https://boxd.it/43bI
2021-07-19,Big Hero 6,2014,https://boxd.it/5rje
2021-07-19,Wreck-It Ralph,2012,https://boxd.it/2TTS
2021-07-19,The Emperor's New Groove,2000,https://boxd.it/1Tey
2021-07-19,Tag,2018,https://boxd.it/gh7Y
2021-07-19,ParaNorman,2012,https://boxd.it/2FuY
2021-07-19,Masterminds,2016,https://boxd.it/6mTe
2021-07-19,What to Expect When You're Expecting,2012,https://boxd.it/2DEM
2021-07-19,The Sound of Music,1965,https://boxd.it/1MLK
2021-07-19,Hairspray,2007,https://boxd.it/261M
2021-07-19,Nacho Libre,2006,https://boxd.it/1YTG
2021-07-19,While You Were Sleeping,1995,https://boxd.it/27wm
2021-07-19,Mission: Impossible III,2006,https://boxd.it/29cI
2021-07-20,Midsommar,2019,https://boxd.it/jhxe
2021-07-20,Space Jam,1996,https://boxd.it/26YO
2021-07-21,Space Jam: A New Legacy,2021,https://boxd.it/dd9A
2021-07-24,Fear Street: 1994,2021,https://boxd.it/lLBk
2021-07-24,Fear Street: 1978,2021,https://boxd.it/lLBu
2021-07-24,Fear Street: 1666,2021,https://boxd.it/lLBE
2021-07-24,Home Alone,1990,https://boxd.it/29Fg
2021-07-26,Wish Dragon,2021,https://boxd.it/k6w2
2021-07-31,Jungle Cruise,2021,https://boxd.it/g4YK
2021-08-07,The Green Knight,2021,https://boxd.it/kuy2
2021-08-09,Suicide Squad,2016,https://boxd.it/9row
2021-08-13,The Suicide Squad,2021,https://boxd.it/fw6O
2021-08-29,Spider-Man 2,2004,https://boxd.it/2a88
2021-09-12,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-29,Squid Game,2021,https://boxd.it/x1OG
2021-10-04,Free Guy,2021,https://boxd.it/k8dm
2021-10-11,War Dogs,2016,https://boxd.it/9SlO
2021-10-15,Midnight Mass,2021,https://boxd.it/wvVA
2021-10-21,Last Christmas,2019,https://boxd.it/k38G
2021-10-22,Dune,2021,https://boxd.it/fA7G
2021-10-24,Star Wars: Visions – The Village Bride,2021,https://boxd.it/x5aU
2021-11-20,The French Dispatch,2021,https://boxd.it/jLP8
2021-11-21,Eternals,2021,https://boxd.it/j36o
2021-11-27,Spider-Man,2002,https://boxd.it/2a8i
2021-12-01,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw
2021-12-01,Amend: The Fight for America,2021,https://boxd.it/u36g
2021-12-05,Encanto,2021,https://boxd.it/kPRu
2021-12-14,Logan Lucky,2017,https://boxd.it/dZrs
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-18,The Matrix,1999,https://boxd.it/2a1m
2021-12-19,The Matrix Reloaded,2003,https://boxd.it/2a1c
2021-12-23,The Matrix Resurrections,2021,https://boxd.it/n87k
2021-12-24,Ron's Gone Wrong,2021,https://boxd.it/hlj2
2021-12-24,Klaus,2019,https://boxd.it/ipoi
2021-12-25,Hawkeye,2021,https://boxd.it/xQqK
2021-12-25,The Matrix Revolutions,2003,https://boxd.it/2a12
2021-12-25,It's a Wonderful Life,1946,https://boxd.it/28xA
2021-12-31,Death to 2021,2021,https://boxd.it/yj28
2022-01-04,Don't Look Up,2021,https://boxd.it/o0Hc
2022-01-04,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2022-01-04,Ad Astra,2019,https://boxd.it/ePzI
2022-01-05,Blade Runner: Black Out 2022,2017,https://boxd.it/h5sM
2022-01-06,Blade Runner,1982,https://boxd.it/2bcA
2022-01-09,The Garden of Words,2013,https://boxd.it/5Ymq
2022-01-10,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2022-01-10,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2022-01-10,Howl's Moving Castle,2004,https://boxd.it/23De
2022-01-10,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2022-01-10,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2022-01-10,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA
2022-01-10,Star Wars: Visions – The Twins,2021,https://boxd.it/x5bI
2022-01-10,Star Wars: Visions – The Ninth Jedi,2021,https://boxd.it/x5be
2022-01-10,Star Wars: Visions – The Elder,2021,https://boxd.it/x5c2
2022-01-10,Star Wars: Visions – Lop & Ochō,2021,https://boxd.it/x5aK
2022-01-10,Star Wars: Visions – Akakiri,2021,https://boxd.it/x5by
2022-01-10,Star Wars: Visions – The Duel,2021,https://boxd.it/x5aq
2022-01-10,Kin of the Stained Blade,2020,https://boxd.it/rlcK
2022-01-10,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck
2022-01-10,The Disaster Artist,2017,https://boxd.it/cTqc
2022-01-10,Mary and The Witch's Flower,2017,https://boxd.it/ffTY
2022-01-10,Iron Man 3,2013,https://boxd.it/2cBQ
2022-01-11,Us Again,2021,https://boxd.it/thCe
2022-01-11,Far from the Tree,2021,https://boxd.it/vmgc
2022-01-17,The Amazing Spider-Man,2012,https://boxd.it/27PI
2022-02-01,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2022-02-06,Sully,2016,https://boxd.it/cD8Q
2022-02-21,The King's Man,2021,https://boxd.it/h714
2022-02-26,Death on the Nile,2022,https://boxd.it/ifpg
2022-03-09,The Batman,2022,https://boxd.it/eDGs
