Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-03-01,Knock at the Cabin,2023,https://boxd.it/3VeRkD,,,So why does the fate of humanity rest in the hands of people who weren’t adequately briefed way beforehand on their task? Someone dropped the ball on that one,,2023-02-28
2023-03-05,Godzilla vs. Kong,2021,https://boxd.it/3WmL6P,,,Disappointed they didn’t kiss in the end,,2023-03-04
2023-03-18,Don't Worry Darling,2022,https://boxd.it/3ZW1vt,2.5,,Jordan Peterson starts a program that gives incels a weird power trip and all the men worship him.,,2023-03-17
2023-04-17,Suzume,2022,https://boxd.it/486pzB,3.5,,"That scene when Suzume is breaking Souta free in the end was so well done I was sobbing. Him frozen and locked away but Suzume opened the door and pulled him up. That’s some good shit.

I watched this subbed and I wish that I didn’t misinterpret Suzume’s motives as romantic. I think that was lost in the translation or culture gap. Will have to watch it again to see if I can understand what drove her to drop everything and risk her life for someone she just met. 

Also confused about the cat’s motives. So Dajin cursed Souta to be the new keystone but then took it back in the end. I get that the cat/god wasn’t opening the doors after all but was just showing them which ones were open but I’m confused at the function of a keystone. Most doors don’t have one. It’s this one family’s job to hold back the evil that would otherwise ravage Japan? But they have to give their soul up for eternity or whatever in ice to hold it back? But the gods can do it too? And they sometimes do and sometimes don’t? Dajin seemed pretty ok with Tokyo getting absolutely shmonked instead of magically keystoning it away. 

Overall was beautiful as ever but I misunderstand a lot of the details of the conflict.",,2023-04-16
2023-04-23,Hidden Figures,2016,https://boxd.it/49BROb,4.5,Yes,"Holy smokes, the quadratic equation in elementary school. It blows my mind that math put humans in space and back ALIVE",,2023-04-22
2023-04-25,Beau Is Afraid,2023,https://boxd.it/4a9swp,4,,That was the most unhinged thing I’ve ever seen,,2023-04-24
2023-05-02,BEEF,2023,https://boxd.it/4c2nhD,5,,We should have done this more often. What a waste. At least we did it once.,,2023-05-01
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4dgoPt,4.5,,The emotions I felt were unlike anything Disney’s evoked in me before. And the joy reminds me of a time when I was genuinely excited for marvel movies.,,2023-05-05
2023-05-30,Love & Death,2023,https://boxd.it/4j3moX,5,,"I knew nothing about this story and I did not expect to feel this one so much. Most of true crime just makes a spectacle of real horror but this one, because of the amazing performances of Elizabeth Olsen and Jesse Plemons brought to it a real humanity.",,2023-05-29
2023-05-30,The Little Mermaid,2023,https://boxd.it/4j8OQZ,4.5,,"“Thank you for hearing me”
“You shouldn’t have had to lose your voice to be heard.”",,2023-05-29
2023-06-06,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4kWeTx,5,Yes,I’m proud of you! Do I want kids?,,2023-06-05
2023-06-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4kYjdZ,5,Yes,The first movie broke the Pixar pattern and showed that stylized feature films can work. This one said look at what we can make you feel through style alone. The sequences with Gwen and her dad were a statement of this and had me in tears.,,2023-06-05
2023-06-18,Elemental,2023,https://boxd.it/4ol6kL,4,,I like movies about healing generational trauma. And I really felt the bit on honoring the sacrifices of your parents but the burden it places is really difficult to navigate.,,2023-06-17
2023-06-23,Asteroid City,2023,https://boxd.it/4pKfld,5,,“Dear alien who art in heaven.” 🙏🛸👽,,2023-06-22
2023-06-24,Past Lives,2023,https://boxd.it/4pYNVH,5,,"My first note isn’t actually a review for the movie. Often when going to movies I’ll get really scared for my life that someone will come in and *trigger*🦅🇺🇸🔫🪦. Going to this showing I was struggling immensely. There was a man that got up early on, left and never came back. Just sitting there wondering. It took up most of my experience.

So because of that I was pretty distracted from allowing myself to really feel this movie. But I was absolutely blown away by Author’s character. Him processing the presence of Hae Sung was so emotional. His kindness and vulnerability and compassion just floored me.",,2023-06-23
2023-06-28,Scream VI,2023,https://boxd.it/4r5m4J,3.5,,“…The killers last time were whiny snowflake film nerds with letterboxd accounts instead of personalities…” loooooool,,2023-06-27
2023-06-30,Asteroid City,2023,https://boxd.it/4rKZpj,5,Yes,But can you fall asleep if you don’t wake up?,,2023-06-29
2023-07-04,Bodies Bodies Bodies,2022,https://boxd.it/4sPZq1,5,,Of course Pete Davidson accidentally kills himself.,,2023-07-03
2023-07-05,Nimona,2023,https://boxd.it/4taIkn,5,,"“Holy shi-“ I felt so many things. Such compelling dialogue from Nimona. The climax was surprisingly heavy and had me bawling 😭 And then to make the ending not a fairy tale meta happy ever after, the struggle that the movie handles is current, hence “this might not be that kind of story with a happily ever after, or maybe this story isn’t over yet” in reality so it makes sense that the movie didn’t resolve nicely.","😂, 😭, 🥹, netflix, w/ family",2023-07-04
2023-07-05,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4tisRB,4,,I think it’s a solid 3 stars but that eye of the storm bit and what follows really really ignited an inner child excitement that I haven’t experienced so it gets another star for that,,2023-07-04
2023-07-10,Nausicaä of the Valley of the Wind,1984,https://boxd.it/4uMm1j,5,Yes,"Nausicaä: (Trying to calm a wild Teto) There's nothing to fear...
(tries to pet him, but he bites her and holds on, growling) 
Nausicaä: (winces, but says calmly) There's nothing to fear...
(He calms and releases his bite and begins to lick it)

This scene surprisingly had me in tears. Her fierce commitment to help heal a scared (scared to the point of violence and bloodshed) world is made strikingly clear in our first impressions of her.",,2023-07-09
2023-07-13,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4vBjcl,4,,"I’m curious why the entity has so much confidence in Gabriel’s ability in hand to hand combat. 

On a different note, the way Tom cruise’s movies feel like a renaissance in action adventure cinema.",,2023-07-12
2023-07-14,Babylon,2022,https://boxd.it/4vZxPT,4,,Laughing at first. Then it’s misery. Then I was so sad and in the end I was just sobbing.,,2023-07-13
2023-07-14,There Will Be Blood,2007,https://boxd.it/4vZAyh,5,,The American dream!,,2023-07-13
2023-07-15,Free Guy,2021,https://boxd.it/4wcRS5,3.5,Yes,"Buddy the security guard’s moment on the bridge actually brings me to tears every time.

Oh and in the end when guy is telling Millie that he is a love letter to her also gets me every time.",,2023-07-14
2023-07-16,My Neighbor Totoro,1988,https://boxd.it/4wsR71,5,Yes,The bus scene where Totoro shows up and gets so excited about the sound of rain on the umbrella is pure magic,,2023-07-15
2023-07-16,Lilo & Stitch,2002,https://boxd.it/4wsWTp,5,Yes,I don’t think this needs a live action remake. This is goated,,2023-07-15
2023-07-16,This Place Rules,2022,https://boxd.it/4wxQKr,3,,I kind of forgot how intense this time period was.,,2023-07-15
2023-07-19,1917,2019,https://boxd.it/4xyyHb,5,,The iconic scene when Schofield is sprinting along the top of the trench as the second wave charges into a trap was so overwhelmingly emotional to me. He succeed in saving their lives in the end,,2023-07-18
2023-07-21,Barbie,2023,https://boxd.it/4ybVrN,5,,I'm just Ken and I'm enough and I'm great at doing stuff,"w/ megan, 🥹, 😭, 😩, 💖",2023-07-20
2023-07-22,Oppenheimer,2023,https://boxd.it/4yDc8n,5,,This was the most horrifying thing I’ve ever seen,,2023-07-21
2023-08-16,Talk to Me,2022,https://boxd.it/4HH1ar,5,,Seriously the best horror film I’ve ever seen.,,2023-08-15
2023-08-23,The Wind Rises,2013,https://boxd.it/4JWGVV,5,,So I thought that earthquake was the atom bomb and it was like a city over or something like that. But I just wasn’t aware of where we were on the timeline. Anyway oh my god the feeling that all these people are just trying to live their lives and pick it back up as the world is falling apart around them is just devastating.,,2023-08-22
2023-09-15,Ahsoka,2023,https://boxd.it/4QGxq1,5,,"<b>Episode 5: Shadow Warrior</b>
<b>10/10</b>

I don’t even care what happens for the rest of the show. Seeing Hayden Christensen again as Anakin, and witnessing him as a caring mentor, along with the duality of his fallen character as Knightfall Vader, was so emotionally and skillfully portrayed. The writing from Dave and the acting in Hayden’s performance captured the essence of a character so well-loved for both good and evil. The tragedy of the evil he has done, present in his nature where both cruelty and ruthlessness exist alongside kindness and hope in Ahsoka.

It was also emotional just getting to see him dueling and at the pace and ferocity you’d expect from him. 🤺","solo, 💖, 😩, 😭, bestofstarwars",2023-09-14
2023-09-20,Interstellar,2014,https://boxd.it/4S7zPP,5,Yes,This is my scripture. The Holy Bible if you will. My Roman Empire. I think about this movie multiple times a week,"📖, solo, 🥹, 😭, 💖",2023-09-19
2023-10-03,A Haunting in Venice,2023,https://boxd.it/4VVsLj,4,,I looooooooooveeeed this!! I want more!,"w/ megan, in/theaters",2023-10-02
2023-10-05,The Creator,2023,https://boxd.it/4WDfmj,2.5,,I really wanted this to be good and I was trying for the first act to let stuff slide but sheesh it was a mess. And why did Gemme Chan only have like two scenes?? She was the most believable emotional connection to the ai! But it was visually stunning and for that budget is hella cool!,"imax, solo",2023-10-04
2023-10-23,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/52EQnp,,Yes,"Gopher: This bear is guming the whole project up!

Owl: Dash it all the bear is the project!",,2023-10-22
2023-12-07,The Green Knight,2021,https://boxd.it/5htSKj,5,Yes,A Christmas classic!,,2023-12-06
2024-01-17,Scott Pilgrim Takes Off,2023,https://boxd.it/5C2wBz,5,,The finale turned out to be amazing. The line that Romona says to Scott when she becomes one with her older self was primo. To see how your life pans out and choose it (Romona) vs seeing how your life turns out and fight it (Scott),,2024-01-16
2024-02-21,Snowpiercer,2013,https://boxd.it/5SQCwJ,4,,🐟🪓🩸💀🌉 Happy new year!! ❄️🎉🪓🩸💀,,2024-02-20
2024-02-25,Whiplash,2014,https://boxd.it/5UC21P,5,,That ending was the most fun and gratifying finale I can ever remember experiencing.,,2024-02-24
2024-02-26,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/5UOhh3,4,,I’m a real sucker for storytelling that humanizes “monsters”,,2024-02-25
2024-03-01,Dune: Part Two,2024,https://boxd.it/5WIX2Z,5,,Sci fi has never been better nor has it ever felt this real,,2024-02-29
2024-03-10,Dune: Part Two,2024,https://boxd.it/616quP,5,Yes,Your mothers warned you about my coming. Fear the moment. Thats such a cold line,,2024-03-09
2024-03-17,Kung Fu Panda 4,2024,https://boxd.it/64kWUv,3,,"I feel like everyone in the comments are forgetting this is a kids movie.. expectations check. Fun, good vibes and nothing cringy",,2024-03-16
2024-04-13,Civil War,2024,https://boxd.it/6govxl,5,,"“Would you have taken the picture if I was shot?”

“What do you think?”

The youth’s reckless ambition to be like their heroes. Even though Jessie entirely accepted the risks to her own life in the end, hungry to not lose her chance, picked the wrong moment. And her mentor steps in front of the bullet. With adrenaline driving Jesse forward she took the picture of Lee dying. Her pacing was inexperienced, highlighted by the interaction with the dress. Too early. Too late. “That was not the moment. There’s a sweet spot.” 

For an audience not typically engaged in war journalism, it’s a smart move to bring the war here to tell this story.",,2024-04-12
2024-06-26,The Idea of You,2024,https://boxd.it/6KzXrn,,,Why would you break up with a talented kind feminist?,,2024-06-25
2024-08-07,Trap,2024,https://boxd.it/72O6ip,5,,"Surprised this isn’t as well received by the majority. This movie did everything for me. Maybe I’m simple but this very much hit my emotions. 

A serial killer as a protagonist? How am I supposed to feel about him succeeding or even like him? (It helps that Josh Hartnett's hot hot crispy hot) Well the person we become familiar with is a loving dad, someone that the nervous system would signal is safe and for me, that worked—seeing him invested in his daughter and take joy in watching her grow and find confidence (even if it was by his attempts to escape). 

Seeing him later portray a cold and calculated killer was plenty of a rug pull (I knew it was coming so it was more of an emotional rug). The pop star, and the wife making their plays so intelligently was what carried the final act further than I am conditioned by Hollywood to expect (breaking that dumb scary movie trope of fear leading people to do the very wrong thing that leads to their death)

And the last thing that really sent it home for me was the contrast between the profiler’s final lines with that of the pop star’s attempt to lean into his mom’s power over him. Where the first attempt failed to connect —“you are not a monster”—was in who he thinks he is. He believes he’s a monster. We cannot bear the pain of being bare and seen and rejected and in his case people were terrified and disgusted with who he is, striped down (literally shirtless hubba hubba), enter the hallucination of his mom telling him that she sees he's a monster and accepts him as that—all that anyone desperately wants is to be accepted when we are seen for what we believe we really are",,2024-08-06
2024-10-22,Wonder,2017,https://boxd.it/7BXpCB,,,Ameryssa Tafoya’s recommendation,,2024-10-21
2024-10-26,Venom: The Last Dance,2024,https://boxd.it/7DWzXF,,,Junk food enjoyed with friends kind of a movie,,2024-10-25
2024-11-13,Heretic,2024,https://boxd.it/7NvTap,3,,I’m so mad 😡,,2024-11-12
